C_TERRITOIRE_ID;C_LBLTERRITOIRE;C_DEPARTEMENT_ID;C_LBLDEPARTEMENT;C_REGION_ID;C_LBLREGION;TX_ACCESM6;TX_PRESEMPM6;TX_ACCESM6_D;TX_PRESEMPM6_D;DELTA_TX_ACCESM6;DELTA_TX_PRESEMPM6;TERRITOIRE_PROCHE1;TERRITOIRE_PROCHE2;TERRITOIRE_PROCHE3;TERRITOIRE_PROCHE4;TERRITOIRE_PROCHE5;TERRITOIRE_PROCHE6;TERRITOIRE_PROCHE7;TERRITOIRE_PROCHE8;TERRITOIRE_PROCHE9;TERRITOIRE_PROCHE10
CLPE07002;AUBENAS;07;ARDÈCHE;84;AUVERGNE-RHÔNE-ALPES;0.3662027173;0.2482885683;0.3489334321;0.229514774;0.0172692853;0.0187737943;CLPE04001;CLPE66001;CLPE46003;CLPE66003;CLPE24001;CLPE11003;CLPE31003;CLPE84004;CLPE26002;CLPE65002
CLPE07003;CENTRE ARDÈCHE;07;ARDÈCHE;84;AUVERGNE-RHÔNE-ALPES;0.3433029337;0.2294033623;0.3294006433;0.215969911;0.0139022905;0.0134334513;CLPE31003;CLPE81003;CLPE46001;CLPE19002;CLPE81002;CLPE63002;CLPE65003;CLPE81001;CLPE82002;CLPE71003
CLPE08001;CHARLEVILLE-MÉZIÈRES;08;ARDENNES;44;GRAND EST;0.2532659918;0.1652441131;0.271309447;0.1782254858;-0.018043455;-0.012981373;CLPE02003;CLPE10002;CLPE57001;CLPE59001;CLPE02002;CLPE59006;CLPE08004;CLPE30003;CLPE59005;CLPE54002
CLPE08002;RETHEL;08;ARDENNES;44;GRAND EST;0.3375254161;0.2228581469;0.3275074218;0.2163643363;0.0100179942;0.0064938107;CLPE16003;CLPE57003;CLPE37003;CLPE71003;CLPE63003;CLPE17005;CLPE86002;CLPE63002;CLPE24001;CLPE89002
CLPE08003;REVIN;08;ARDENNES;44;GRAND EST;0.2686912962;0.1760488416;0.2666353838;0.173940665;0.0020559124;0.0021081766;CLPE08001;CLPE59005;CLPE08004;CLPE57001;CLPE30003;CLPE02005;CLPE54001;CLPE54002;CLPE59001;CLPE10002
CLPE08004;SEDAN;08;ARDENNES;44;GRAND EST;0.2606323722;0.1661533421;0.2707377243;0.1794874135;-0.010105352;-0.013334071;CLPE57001;CLPE59005;CLPE59001;CLPE59006;CLPE54002;CLPE08001;CLPE02002;CLPE02003;CLPE59002;CLPE62004
CLPE09001;COUSERANS;09;ARIÈGE;76;OCCITANIE;0.2584744834;0.1561014089;0.2759849928;0.1781764777;-0.017510509;-0.022075069;CLPE11002;CLPE30003;CLPE09002;CLPE58002;CLPE46001;CLPE09003;CLPE08001;CLPE23001;CLPE18002;CLPE18003
CLPE09002;PAYS DES PYRÉNÉES CATHARES;09;ARIÈGE;76;OCCITANIE;0.2680588952;0.1724035706;0.2907096912;0.1891932413;-0.022650796;-0.016789671;CLPE11002;CLPE46001;CLPE81003;CLPE11001;CLPE34001;CLPE55001;CLPE31003;CLPE30003;CLPE09003;CLPE18002
CLPE09003;VALLÉE DE L'ARIÈGE;09;ARIÈGE;76;OCCITANIE;0.3216664741;0.2015228524;0.3074461713;0.2031419001;0.0142203028;-0.001619048;CLPE65003;CLPE11001;CLPE81003;CLPE03002;CLPE46001;CLPE88001;CLPE36001;CLPE81001;CLPE07003;CLPE55001
CLPE10001;BAR-SUR-AUBE;10;AUBE;44;GRAND EST;0.3758438509;0.2233147442;0.3534772174;0.229773084;0.0223666335;-0.00645834;CLPE17001;CLPE51004;CLPE33007;CLPE17005;CLPE33004;CLPE49003;CLPE61002;CLPE41002;CLPE24001;CLPE47002
CLPE10002;NOGENT-SUR-SEINE;10;AUBE;44;GRAND EST;0.3117605251;0.2002592082;0.2807898182;0.185387153;0.0309707069;0.0148720552;CLPE18003;CLPE10003;CLPE08001;CLPE02002;CLPE54002;CLPE88001;CLPE03001;CLPE59001;CLPE57001;CLPE55002
CLPE10003;TROYES;10;AUBE;44;GRAND EST;0.3272793316;0.2112967672;0.2982705907;0.1967426971;0.029008741;0.01455407;CLPE88001;CLPE57002;CLPE45002;CLPE03001;CLPE18003;CLPE90001;CLPE80002;CLPE36001;CLPE71001;CLPE02004
CLPE11001;CARCASSONNE;11;AUDE;76;OCCITANIE;0.28874721;0.1861617488;0.3099412622;0.2033112804;-0.021194052;-0.017149532;CLPE65003;CLPE09003;CLPE81003;CLPE34001;CLPE81001;CLPE31003;CLPE03002;CLPE11003;CLPE82002;CLPE88001
CLPE11002;LIMOUX;11;AUDE;76;OCCITANIE;0.2601667925;0.1663874519;0.2803718319;0.1810142538;-0.020205039;-0.014626802;CLPE58002;CLPE09002;CLPE09001;CLPE30003;CLPE31003;CLPE23001;CLPE81003;CLPE11001;CLPE18002;CLPE34001
CLPE11003;NARBONNE;11;AUDE;76;OCCITANIE;0.2957841043;0.1933336938;0.3157349481;0.2093604314;-0.019950844;-0.016026738;CLPE34001;CLPE30001;CLPE66001;CLPE31003;CLPE11001;CLPE66002;CLPE84004;CLPE30002;CLPE03003;CLPE24003
